manifest,title,url,status,local_path,sha256,note
MANIFEST.csv,114-ФЗ_релевантные_положения.txt,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/114-ФЗ_релевантные_положения.txt,,from corpus manifest
MANIFEST.csv,D18_Брошюра_Минэк_извлеченные_критерии_v7.txt,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/D18_Брошюра_Минэк_извлеченные_критерии_v7.txt,,from corpus manifest
MANIFEST.csv,D21_ПП1510_снимок_релевантных_положений_v7.txt,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/D21_ПП1510_снимок_релевантных_положений_v7.txt,,from corpus manifest
MANIFEST.csv,D22_ПП1562_снимок_релевантных_положений_v7.txt,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/D22_ПП1562_снимок_релевантных_положений_v7.txt,,from corpus manifest
MANIFEST.csv,D23_ПП468_снимок_релевантных_положений_v7.txt,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/D23_ПП468_снимок_релевантных_положений_v7.txt,,from corpus manifest
MANIFEST.csv,D24_270ФЗ_снимок_релевантных_положений_v7.txt,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/D24_270ФЗ_снимок_релевантных_положений_v7.txt,,from corpus manifest
MANIFEST.csv,D25_281ФЗ_снимок_релевантных_положений_v7.txt,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/D25_281ФЗ_снимок_релевантных_положений_v7.txt,,from corpus manifest
MANIFEST.csv,D26_Договор_ЕАЭС_ст96_98_снимок_v7.txt,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/D26_Договор_ЕАЭС_ст96_98_снимок_v7.txt,,from corpus manifest
MANIFEST.csv,Simplified_residence_permit_obtaining_process_brochure_ru_en_cn.pdf,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/Simplified_residence_permit_obtaining_process_brochure_ru_en_cn.pdf,,from corpus manifest
MANIFEST.csv,Миграционная_политика_Министерство_экономического_развития_Российской.mht,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/Миграционная_политика_Министерство_экономического_развития_Российской.mht,,from corpus manifest
MANIFEST.csv,Минэк_брошюра_тезисы.txt,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/Минэк_брошюра_тезисы.txt,,from corpus manifest
MANIFEST.csv,Минэк_брошюра_упрощенное_ВНЖ_инвестору.pdf,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/Минэк_брошюра_упрощенное_ВНЖ_инвестору.pdf,,from corpus manifest
MANIFEST.csv,Минэк_извлеченный_текст_v6.txt,,copied,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/Минэк_извлеченный_текст_v6.txt,,from corpus manifest
